Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,AQI Category_encoded,CO AQI Category_encoded,Ozone AQI Category_encoded,NO2 AQI Category_encoded,PM2.5 AQI Category_encoded,Total_Pollution_Score,Country_encoded,City_encoded
India,Pallavaram,82.0,1.0,28.0,2.0,82.0,1,0,0,0,1,32.3,69,15434
United States of America,Panama City,54.0,1.0,21.0,4.0,54.0,1,0,0,0,1,22.65,166,15494
United States of America,Weston,50.0,1.0,36.0,3.0,50.0,0,0,0,0,0,24.95,166,22605
United States of America,Winter Park,52.0,1.0,21.0,10.0,52.0,1,0,0,0,1,24.05,166,22725
Switzerland,Winterthur,43.0,1.0,25.0,2.0,43.0,0,0,0,0,0,19.849999999999998,152,22729
South Africa,Wolmaranstad,103.0,1.0,12.0,9.0,103.0,2,0,0,0,2,36.35,144,22777
Poland,Wolsztyn,31.0,1.0,27.0,1.0,31.0,0,0,0,0,0,16.499999999999996,123,22782
Indonesia,Wonosobo,81.0,1.0,48.0,0.0,81.0,1,0,0,0,1,36.699999999999996,70,22789
United States of America,Wyckoff,59.0,1.0,26.0,10.0,59.0,1,0,0,0,1,26.9,166,22848
Mexico,Xalatlaco,139.0,1.0,6.0,10.0,145.0,3,0,0,0,3,51.95,100,22855
China,Xinyu,107.0,1.0,68.5,3.0,107.0,2,0,1,0,2,55.9,33,22901
Mexico,Xoxocotla,72.0,1.0,8.0,9.0,72.0,1,0,0,0,1,26.249999999999996,100,22912
Russian Federation,Yablonovskiy,46.0,1.0,42.0,4.0,46.0,0,0,0,0,0,25.499999999999996,130,22927
Russian Federation,Yalutorovsk,32.0,1.0,32.0,0.0,21.0,0,0,0,0,0,14.5,130,22952
Russian Federation,Yaransk,33.0,1.0,32.0,1.0,33.0,0,0,0,0,0,18.349999999999998,130,22991
Japan,Yashiro,41.0,1.0,41.0,1.0,39.0,0,0,0,0,0,22.4,77,23002
Japan,Yatsuo,43.0,1.0,43.0,0.0,26.0,0,0,0,0,0,18.75,77,23010
Japan,Yawata,46.0,1.0,46.0,0.0,23.0,0,0,0,0,0,18.599999999999998,77,23018
Russian Federation,Yelizovo,32.0,1.0,32.0,1.0,11.0,0,0,0,0,0,11.75,130,23044
Turkey,Yenisehir,37.0,1.0,37.0,0.0,19.0,0,0,0,0,0,15.149999999999999,159,23057
China,Yushan,139.0,1.0,68.5,10.0,145.0,3,0,3,0,3,92.35,33,23169
Russian Federation,Yuzha,48.0,1.0,29.0,2.0,48.0,0,0,0,0,0,22.349999999999998,130,23175
Poland,Zabkowice Slaskie,45.0,1.0,20.0,3.0,45.0,0,0,0,0,0,19.45,123,23189
El Salvador,Zacatecoluca,78.0,1.0,10.0,10.0,78.0,1,0,0,0,1,29.549999999999997,48,23197
Poland,Zakopane,52.0,1.0,36.0,0.0,52.0,1,0,0,0,1,24.6,123,23221
Hungary,Zalaegerszeg,79.0,1.0,39.0,1.0,79.0,1,0,0,0,1,33.900000000000006,67,23222
Libya,Zaltan,56.0,1.0,51.0,0.0,56.0,1,0,1,0,1,29.75,89,23225
China,Zaozhuang,139.0,1.0,68.5,3.0,87.0,3,0,3,0,1,67.44999999999999,33,23239
Spain,Zarautz,42.0,1.0,39.0,0.0,42.0,0,0,0,0,0,22.35,146,23252
Russian Federation,Zarinsk,44.0,1.0,44.0,0.0,33.0,0,0,0,0,0,21.099999999999998,130,23257
Malta,Zebbug,53.0,1.0,51.0,1.0,53.0,1,0,1,0,1,29.099999999999998,97,23279
Belgium,Zedelgem,33.0,1.0,31.0,1.0,33.0,0,0,0,0,0,17.9,15,23280
China,Zhaocheng,139.0,1.0,68.5,2.0,145.0,3,0,3,0,3,90.49999999999999,33,23321
Côte d'Ivoire,Zuenoula,48.0,1.0,14.0,0.0,48.0,0,0,0,0,0,18.099999999999998,42,23428
